Risk ID,Asset,Threat,Vulnerability,Inherent Impact,Inherent Likelihood,Inherent Risk,Existing Controls,Recommended Controls,Residual Impact,Residual Likelihood,Residual Risk,Treatment Status,Owner,Review Cadence,NIST CSF Mapping
R-01,Customer authentication portal,Credential stuffing,Weak password reuse and exposed login endpoints,High,High,High,Basic password authentication,"MFA for admins; rate limiting; CAPTCHA; login monitoring",Medium,Medium,Medium,In progress,Security lead,Quarterly,"ID.AM, ID.RA, PR.AA, DE.CM, RS.MA"
R-02,Cloud production database,Ransomware or data exfiltration,Overprivileged access and insufficient monitoring,High,High,High,"Cloud hosting and standard backups","Encryption at rest; key management; least privilege; backup isolation; anomaly detection",High,Medium,Medium,Planned,Infrastructure lead,Quarterly,"ID.AM, ID.RA, PR.DS, DE.AE, RC.RP"
R-03,Private source code repository,Supply chain compromise,Compromised developer account or weak change controls,High,Medium,High,Private repo access,"Branch protection; peer review; signed commits; MFA; alerting on privileged changes",Medium,Low,Low,In progress,Engineering lead,Quarterly,"ID.AM, ID.RA, PR.PS, DE.CM, RS.MI"
R-04,API keys and service accounts,Secret leakage,Hardcoded secrets in source code or logs,High,High,High,Ad hoc key handling,"Centralized secrets manager; pre-commit scanning; key rotation; least privilege",Medium,Medium,Medium,Planned,Platform lead,Monthly,"ID.AM, ID.RA, PR.AA, PR.PS, RS.MI"
R-05,Cloud infrastructure management plane,Unauthorized admin access,Weak privileged access management,High,Medium,High,Password-based admin access,"MFA; role separation; logging; privileged access reviews",Medium,Medium,Medium,In progress,Infrastructure lead,Quarterly,"PR.AA, DE.CM, RS.MA"
R-06,Payment integration,Third-party abuse or fraud,Compromised credentials or insecure integration logic,High,Medium,High,Vendor integration controls,"Secret rotation; least privilege; transaction alerting; incident playbook",Medium,Medium,Medium,Planned,Client delivery lead,Quarterly,"ID.AM, PR.AA, DE.AE, RS.CO"
R-07,Backups,Recovery failure,Untested restores or compromised backups,High,Medium,High,Backups exist,"Backup isolation; recovery testing; restore prioritization; integrity checks",High,Low,Medium,In progress,Infrastructure lead,Monthly,"RC.RP, RC.CO"
R-08,Application logs,Lack of visibility,Fragmented logging or missing telemetry,High,High,High,Local logs only,"Centralized logging; SIEM; alert thresholds; retention policy",Medium,Medium,Medium,Planned,Security lead,Monthly,"DE.CM, DE.AE, RS.AN"
R-09,Employee endpoints,Credential theft or malware,Weak endpoint protections and phishing exposure,Medium,Medium,Medium,Standard endpoint controls,"EDR; awareness training; MFA; detection rules",Medium,Low,Low,In progress,IT operations lead,Quarterly,"PR.AT, PR.PS, DE.CM"
R-10,Third-party services,Dependency compromise,Limited vendor oversight and dependency visibility,Medium,Medium,Medium,Basic vendor use,"Vendor risk review; dependency inventory; service monitoring",Medium,Low,Low,Planned,Vendor manager,Semiannual,"GV.SC, ID.AM, ID.RA"
